PROPERTYID,PRICE,AREA,ROOMNUMBER,BATHNUMBER,STATUS,STUDIO,PENTHOUSE,DUPLEX,SWIMMINGPOOL,ELEVATOR,DISTRICTNAME
00001,1781660,283,4,3,Second hand / Good state,0,1,1,0,1,Chamartín
00002,287764,72,2,1,Second hand / Good state,0,0,0,0,1,Retiro
00003,290195,94,2,2,Second hand / Good state,0,0,0,1,1,San Blas
00004,103587,68,3,1,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00005,91271,96,0,1,Second hand / Needs reform,0,0,0,0,0,Puente de Vallecas
00006,395722,104,3,2,Second hand / Needs reform,0,0,0,0,1,Moncloa
00007,242771,47,1,1,Second hand / Good state,0,0,0,0,0,Centro
00008,135378,82,3,1,Second hand / Needs reform,0,0,0,0,0,Fuencarral
00009,151390,91,3,1,Second hand / Needs reform,0,0,0,0,1,Latina
00010,80880,42,1,1,Second hand / Good state,0,0,0,0,0,Usera
00011,562197,113,3,2,Second hand / Good state,0,0,0,1,1,Ciudad Lineal
00012,533226,158,3,3,Second hand / Unknown,0,0,1,1,1,Moncloa
00013,123105,110,3,1,Second hand / Needs reform,0,0,0,0,0,Carabanchel
00014,1296580,251,1,2,Second hand / Good state,0,0,0,1,1,Tetuán
00015,335092,73,1,1,Second hand / Good state,0,1,0,0,1,Chamberí
00016,1084048,250,3,2,Second hand / Good state,0,1,1,1,1,Ciudad Lineal
00017,184068,50,1,1,Second hand / Needs reform,0,0,0,0,1,Chamartín
00018,148651,59,2,1,Second hand / Good state,0,0,0,0,0,Moratalaz
00019,1928394,219,4,2,Second hand / Good state,0,0,0,0,1,Retiro
00020,759011,133,3,2,Second hand / Good state,0,1,0,1,1,Hortaleza
00021,1990205,707,7,6,Second hand / Good state,0,1,1,1,1,Moncloa
00022,174539,65,2,1,Second hand / Good state,0,0,0,0,1,Retiro
00023,224425,117,3,2,Second hand / Unknown,0,0,0,1,1,Villaverde
00024,133784,78,3,1,Second hand / Needs reform,0,0,0,0,0,Villa de Vallecas
00025,171863,51,1,1,Second hand / Good state,0,0,0,0,1,Hortaleza
00026,222156,83,3,1,Second hand / Good state,0,0,0,0,1,Centro
00027,324492,83,4,1,Second hand / Needs reform,0,0,0,0,1,Salamanca
00028,834146,153,3,2,New development,0,0,1,1,1,Fuencarral
00029,132342,70,3,1,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00030,509888,145,4,2,Second hand / Good state,0,0,0,1,1,Hortaleza
00031,226021,85,3,1,Second hand / Good state,0,0,0,0,1,Hortaleza
00032,1278696,168,3,3,Second hand / Good state,0,0,0,0,1,Salamanca
00033,245436,92,3,2,Second hand / Good state,0,0,0,0,0,Hortaleza
00034,1273038,234,4,4,Second hand / Unknown,0,0,0,1,1,Fuencarral
00035,367113,77,2,1,Second hand / Good state,0,0,0,0,1,Chamberí
00036,225488,108,3,2,Second hand / Good state,0,0,0,0,1,Carabanchel
00037,1206824,171,3,2,Second hand / Good state,0,0,0,0,1,Chamberí
00038,557456,141,3,2,New development,0,0,0,0,1,Fuencarral
00039,120214,74,0,1,Second hand / Good state,1,0,0,1,1,Villa de Vallecas
00040,279785,74,1,1,Second hand / Good state,0,0,0,0,1,Tetuán
00041,448949,80,3,2,Second hand / Good state,0,0,0,0,0,Centro
00042,1453326,181,2,3,Second hand / Good state,0,0,0,0,1,Chamberí
00043,195604,63,2,1,Second hand / Good state,0,0,0,0,0,Ciudad Lineal
00044,99679,63,3,1,Second hand / Needs reform,0,0,0,0,0,Carabanchel
00045,404706,106,4,2,Second hand / Needs reform,0,0,0,0,1,Retiro
00046,318159,62,2,2,Second hand / Good state,0,0,0,1,1,Ciudad Lineal
00047,754484,123,3,2,Second hand / Good state,0,1,0,0,1,Retiro
00048,337093,94,2,2,New development,0,0,0,1,1,Barajas
00049,67860,61,3,1,Second hand / Needs reform,0,0,0,0,0,Latina
00050,99793,38,1,1,Second hand / Good state,0,0,0,0,1,Villaverde
00051,232173,87,3,2,Second hand / Unknown,0,0,0,0,1,San Blas
00052,712771,154,2,2,Second hand / Good state,0,0,0,1,1,Salamanca
00053,257995,83,2,2,New development,0,0,0,1,1,Barajas
00054,240322,49,2,1,Second hand / Good state,0,0,0,0,0,Centro
00055,261865,66,2,2,Second hand / Good state,0,0,0,0,1,Tetuán
00056,1657063,256,4,4,Second hand / Needs reform,0,0,0,0,1,Centro
00057,251215,96,3,1,Second hand / Needs reform,0,0,0,0,1,Arganzuela
00058,177648,81,2,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00059,204579,51,2,1,Second hand / Needs reform,0,0,0,0,0,Arganzuela
00060,206477,55,2,1,Second hand / Good state,0,0,0,0,1,Moncloa
00061,134313,36,0,1,Second hand / Good state,1,0,0,0,0,Tetuán
00062,1288562,269,3,2,Second hand / Good state,0,0,0,1,1,Chamberí
00063,204690,88,2,1,Second hand / Good state,0,1,0,0,1,San Blas
00064,317632,53,1,1,Second hand / Good state,0,0,0,0,0,Centro
00065,306807,74,1,1,Second hand / Good state,0,0,1,0,0,Centro
00066,217004,98,3,2,New development,0,0,0,0,1,Carabanchel
00067,447802,101,3,2,Second hand / Good state,0,0,0,1,1,Ciudad Lineal
00068,148752,160,3,2,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00069,259022,44,1,1,Second hand / Good state,0,0,0,0,1,Moncloa
00070,203454,57,1,1,Second hand / Good state,0,0,0,0,0,Centro
00071,169214,58,2,1,Second hand / Good state,0,0,0,0,0,Hortaleza
00072,848388,259,9,3,Second hand / Needs reform,0,0,0,0,1,Moncloa
00073,636005,136,2,1,Second hand / Good state,0,0,0,0,1,Chamartín
00074,121929,21,1,1,Second hand / Good state,0,0,0,0,0,Centro
00075,432102,61,2,1,Second hand / Needs reform,0,1,0,0,1,Retiro
00076,699960,111,2,2,Second hand / Good state,0,0,0,0,1,Salamanca
00077,608584,86,2,1,Second hand / Needs reform,0,0,0,0,1,Salamanca
00078,196543,44,0,1,Second hand / Good state,1,0,0,1,1,Ciudad Lineal
00079,382001,50,1,1,Second hand / Good state,0,0,0,0,1,Centro
00080,131155,80,2,1,Second hand / Needs reform,0,0,0,0,0,Ciudad Lineal
00081,233181,115,3,2,Second hand / Good state,0,0,0,0,1,Villa de Vallecas
00082,288453,78,3,1,Second hand / Good state,0,0,0,0,1,Tetuán
00083,292203,80,3,1,Second hand / Needs reform,0,0,0,0,1,Tetuán
00084,462779,95,3,2,New development,0,0,0,0,1,Centro
00085,1191812,269,5,5,Second hand / Good state,0,0,0,1,1,Ciudad Lineal
00086,168189,54,2,1,Second hand / Good state,0,0,0,0,0,Tetuán
00087,764772,167,4,3,Second hand / Needs reform,0,0,0,1,1,Ciudad Lineal
00088,290781,66,1,1,Second hand / Good state,0,0,0,0,1,Arganzuela
00089,1325768,312,5,4,Second hand / Good state,0,0,0,0,1,Tetuán
00090,283902,87,2,1,Second hand / Good state,0,0,0,0,1,Usera
00091,63894,76,3,1,Second hand / Unknown,0,0,0,0,0,Villaverde
00092,146262,71,3,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00093,143434,74,3,1,Second hand / Needs reform,0,0,0,0,1,Carabanchel
00094,234343,80,2,2,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00095,120343,65,2,1,Second hand / Good state,0,0,0,0,0,Villa de Vallecas
00096,136273,76,3,1,Second hand / Needs reform,0,0,0,0,0,Ciudad Lineal
00097,291015,71,2,1,Second hand / Good state,0,0,0,0,0,Salamanca
00098,367561,69,2,2,Second hand / Good state,0,0,0,0,1,Chamartín
00099,374014,77,2,1,Second hand / Good state,0,0,0,0,1,Chamberí
00100,892214,147,3,3,Second hand / Good state,0,0,0,0,1,Chamartín
00101,175743,66,3,1,Second hand / Good state,0,0,0,0,1,Moratalaz
00102,416111,91,2,2,Second hand / Good state,0,0,0,1,1,Arganzuela
00103,110067,148,4,2,Second hand / Good state,0,0,0,0,1,Usera
00104,227323,52,1,1,Second hand / Good state,0,0,0,0,0,Hortaleza
00105,236177,64,1,1,Second hand / Good state,0,0,0,1,1,Fuencarral
00106,519070,153,5,2,Second hand / Good state,0,0,0,0,1,Salamanca
00107,265311,88,4,1,Second hand / Good state,0,0,0,0,1,Centro
00108,510779,103,2,2,Second hand / Good state,0,1,0,1,1,Fuencarral
00109,474043,121,3,3,Second hand / Good state,0,0,0,0,1,Arganzuela
00110,496383,148,4,2,Second hand / Needs reform,0,0,0,0,1,Retiro
00111,429503,71,1,1,Second hand / Good state,0,0,0,0,1,Salamanca
00112,162439,79,4,2,Second hand / Good state,0,0,0,0,1,Latina
00113,174764,61,1,1,New development,0,0,0,1,1,Carabanchel
00114,1424093,207,3,3,Second hand / Good state,0,0,0,0,1,Chamberí
00115,307103,108,3,2,Second hand / Good state,0,0,0,1,1,Carabanchel
00116,341814,72,2,1,Second hand / Good state,0,0,0,0,1,Chamberí
00117,270821,65,1,1,Second hand / Good state,0,0,0,1,1,Arganzuela
00118,173707,58,2,1,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00119,124433,69,3,1,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00120,351499,103,3,2,Second hand / Good state,0,0,0,0,1,Fuencarral
00121,1250210,262,4,3,Second hand / Good state,0,0,0,1,1,Chamberí
00122,189321,55,1,1,Second hand / Good state,0,0,0,0,1,Tetuán
00123,106519,116,4,2,Second hand / Good state,0,0,0,0,1,Carabanchel
00124,136734,36,2,1,Second hand / Good state,0,0,0,0,1,Arganzuela
00125,154764,55,0,1,Second hand / Good state,1,0,0,0,0,Carabanchel
00126,393491,183,2,2,Second hand / Good state,0,1,0,1,1,Barajas
00127,759686,143,3,2,Second hand / Good state,0,0,0,0,1,Salamanca
00128,251152,78,1,1,Second hand / Good state,0,0,1,0,1,Chamartín
00129,867206,232,5,4,Second hand / Needs reform,0,0,0,0,1,Tetuán
00130,632960,147,4,2,Second hand / Good state,0,0,0,0,1,Salamanca
00131,373877,95,3,1,Second hand / Needs reform,0,0,0,0,1,Retiro
00132,134719,78,3,1,Second hand / Good state,0,0,0,0,0,Villa de Vallecas
00133,100664,56,2,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00134,152423,80,3,1,Second hand / Good state,0,0,0,0,0,Carabanchel
00135,254816,59,2,1,Second hand / Needs reform,0,0,0,0,1,Arganzuela
00136,870922,235,4,2,Second hand / Good state,0,0,0,0,1,Moncloa
00137,885621,178,4,4,New development,0,1,1,1,1,Moncloa
00138,248783,95,2,1,Second hand / Good state,0,1,0,0,1,Carabanchel
00139,151560,70,3,1,Second hand / Good state,0,0,0,0,1,Latina
00140,483245,86,2,1,Second hand / Good state,0,0,0,0,1,Centro
00141,299782,59,2,1,Second hand / Needs reform,0,0,0,0,1,Salamanca
00142,198854,39,2,1,Second hand / Good state,0,0,0,0,1,Centro
00143,178983,67,2,1,Second hand / Good state,0,0,0,0,1,Villa de Vallecas
00144,239663,70,2,1,Second hand / Good state,0,0,0,0,1,Tetuán
00145,1008323,235,5,3,Second hand / Good state,0,0,0,0,1,Chamartín
00146,369602,90,3,1,Second hand / Good state,0,0,0,0,1,Centro
00147,163528,80,2,2,Second hand / Good state,0,0,0,0,1,Latina
00148,360881,68,3,1,Second hand / Needs reform,0,0,0,0,1,Chamberí
00149,469239,105,4,2,Second hand / Good state,0,0,0,0,1,Chamartín
00150,501193,79,2,1,Second hand / Good state,0,0,0,0,1,Salamanca
00151,77180,34,2,1,Second hand / Needs reform,0,0,0,0,0,Tetuán
00152,452330,147,2,2,Second hand / Good state,0,1,0,0,1,Tetuán
00153,189267,79,3,1,Second hand / Good state,0,0,0,0,1,Moncloa
00154,299086,82,3,1,Second hand / Unknown,0,0,0,1,1,Hortaleza
00155,227492,74,2,1,Second hand / Good state,0,0,0,0,1,Ciudad Lineal
00156,535317,140,4,2,Second hand / Good state,0,1,0,0,1,Retiro
00157,364003,90,4,1,Second hand / Good state,0,0,0,0,0,Tetuán
00158,625919,174,4,3,New development,0,0,0,1,1,Hortaleza
00159,273352,74,3,1,Second hand / Good state,0,0,0,0,0,Centro
00160,183307,81,4,1,Second hand / Unknown,0,0,0,0,0,Ciudad Lineal
00161,626051,146,4,3,New development,0,0,0,1,1,Arganzuela
00162,194760,35,0,1,Second hand / Good state,1,0,0,0,0,Centro
00163,190964,59,1,1,Second hand / Unknown,0,0,0,0,1,San Blas
00164,705640,75,2,2,Second hand / Good state,0,0,0,1,1,Salamanca
00165,409479,39,0,1,Second hand / Good state,1,0,0,0,1,Salamanca
00166,361955,76,2,1,Second hand / Good state,0,0,0,0,1,Salamanca
00167,1493309,154,3,3,Second hand / Good state,0,0,0,0,1,Retiro
00168,298002,96,2,2,Second hand / Good state,0,0,0,1,1,San Blas
00169,417210,68,2,2,Second hand / Good state,0,0,0,0,1,Salamanca
00170,483266,130,3,2,Second hand / Good state,0,0,0,1,1,Barajas
00171,59783,49,2,1,Second hand / Needs reform,0,0,0,0,0,Carabanchel
00172,118398,91,3,1,Second hand / Good state,0,0,0,0,0,Puente de Vallecas
00173,328623,73,2,1,Second hand / Good state,0,0,0,0,1,Arganzuela
00174,454492,80,2,1,New development,0,0,0,1,1,Centro
00175,229591,45,1,1,Second hand / Good state,0,1,1,0,1,Chamberí
00176,242326,51,1,1,Second hand / Good state,0,0,0,0,0,Centro
00177,576770,110,3,2,Second hand / Good state,0,0,0,0,1,Chamberí
00178,178715,52,1,1,Second hand / Good state,0,0,0,0,0,Arganzuela
00179,178604,46,2,1,Second hand / Good state,0,0,0,0,0,Latina
00180,190511,142,3,2,Second hand / Good state,0,0,1,0,0,Puente de Vallecas
00181,1450128,252,4,4,Second hand / Unknown,0,0,0,0,1,Chamberí
00182,177585,37,0,1,Second hand / Good state,1,0,0,0,1,Chamberí
00183,80852,59,2,1,Second hand / Good state,0,0,0,0,0,Villaverde
00184,702267,194,4,2,Second hand / Needs reform,0,0,0,0,1,Chamberí
00185,199387,69,1,1,Second hand / Good state,0,0,0,1,1,Villa de Vallecas
00186,88196,84,3,1,Second hand / Unknown,0,0,0,0,0,Carabanchel
00187,160883,66,2,1,Second hand / Good state,0,0,0,0,0,Ciudad Lineal
00188,1210179,166,3,4,Second hand / Good state,0,0,0,0,1,Salamanca
00189,267857,49,1,1,Second hand / Good state,0,0,0,0,0,Centro
00190,139532,77,3,1,Second hand / Good state,0,0,0,0,0,San Blas
00191,2442223,282,4,5,Second hand / Good state,0,0,0,0,1,Salamanca
